product_already_counted,protocol,btc,method,confidence,month,group,segment,slug,chain,in_column,note
Lombard LBTC,Morpho Blue,44.4688,"DefiLlama token units: yield-bearing token, backing counted at the issuer row",high,2025-10,A,money_market,morpho-blue,Katana,btc_total,
Lombard LBTC,Morpho Blue,12.5056,"DefiLlama token units: yield-bearing token, backing counted at the issuer row",high,2025-10,A,money_market,morpho-blue,TAC,btc_total,
Lombard LBTC,NAVI Lending,408.9802,"DefiLlama token units: yield-bearing token, backing counted at the issuer row",high,2025-10,A,money_market,navi-lending,Sui,btc_total,
Lombard LBTC,NAVI Lending,2.4263,"DefiLlama token units: yield-bearing token, backing counted at the issuer row",high,2025-10,A,money_market,navi-lending,Sui,btc_borrowed,
Lombard LBTC,River Omni-CDP,0.004,"DefiLlama token units: yield-bearing token, backing counted at the issuer row",high,2025-10,A,cdp,river-omni-cdp,Ethereum,btc_total,
Lombard LBTC,Silo V2,0.9923,"DefiLlama token units: yield-bearing token, backing counted at the issuer row",high,2025-10,A,money_market,silo-v2,Sonic,btc_total,
Lombard LBTC,Silo V2,0.1291,"DefiLlama token units: yield-bearing token, backing counted at the issuer row",high,2025-10,A,money_market,silo-v2,Sonic,btc_borrowed,
Lombard LBTC,SparkLend,2740.0434,"DefiLlama token units: yield-bearing token, backing counted at the issuer row",high,2025-10,A,money_market,sparklend,Ethereum,btc_total,
Lombard LBTC,Suilend,542.6845,"DefiLlama token units: yield-bearing token, backing counted at the issuer row",high,2025-10,A,money_market,suilend,Sui,btc_total,
Lombard LBTC,Venus Core Pool,0.6214,"DefiLlama token units: yield-bearing token, backing counted at the issuer row",high,2025-10,A,money_market,venus-core-pool,Ethereum,btc_total,
Lombard LBTC,ZeroLend Lending,0.8141,"DefiLlama token units: yield-bearing token, backing counted at the issuer row",high,2025-10,A,money_market,zerolend-lending,Base,btc_total,
Lombard LBTC,ZeroLend Lending,5.0166,"DefiLlama token units: yield-bearing token, backing counted at the issuer row",high,2025-10,A,money_market,zerolend-lending,Base,btc_borrowed,
Lombard LBTC,ZeroLend Lending,0.0492,"DefiLlama token units: yield-bearing token, backing counted at the issuer row",high,2025-10,A,money_market,zerolend-lending,Corn,btc_total,
Lombard LBTC,ZeroLend Lending,0.0503,"DefiLlama token units: yield-bearing token, backing counted at the issuer row",high,2025-10,A,money_market,zerolend-lending,Corn,btc_borrowed,
Lombard LBTC,ZeroLend Lending,2.5488,"DefiLlama token units: yield-bearing token, backing counted at the issuer row",high,2025-10,A,money_market,zerolend-lending,Ethereum,btc_total,
Lombard LBTC,ZeroLend Lending,2.9228,"DefiLlama token units: yield-bearing token, backing counted at the issuer row",high,2025-10,A,money_market,zerolend-lending,Ethereum,btc_borrowed,
Lombard LBTC,Aave V3,60.066,"DefiLlama token units: yield-bearing token, backing counted at the issuer row",high,2025-11,A,money_market,aave-v3,Base,btc_total,
Lombard LBTC,Aave V3,2203.1455,"DefiLlama token units: yield-bearing token, backing counted at the issuer row",high,2025-11,A,money_market,aave-v3,Ethereum,btc_total,
Lombard LBTC,Aave V3,0.0864,"DefiLlama token units: yield-bearing token, backing counted at the issuer row",high,2025-11,A,money_market,aave-v3,Ethereum,btc_borrowed,
Lombard LBTC,Avalon Finance,0.023,"DefiLlama token units: yield-bearing token, backing counted at the issuer row",high,2025-11,A,money_market,avalon-finance,Binance,btc_total,
Lombard LBTC,Avalon Finance,0.001,"DefiLlama token units: yield-bearing token, backing counted at the issuer row",high,2025-11,A,money_market,avalon-finance,Corn,btc_total,
Lombard LBTC,Bucket CDP,0.0191,"DefiLlama token units: yield-bearing token, backing counted at the issuer row",high,2025-11,A,cdp,bucket-cdp,Sui,btc_total,
Lombard LBTC,crvUSD,4.0386,"DefiLlama token units: yield-bearing token, backing counted at the issuer row",high,2025-11,A,cdp,crvusd,Ethereum,btc_total,
Lombard LBTC,Dolomite,0.485,"DefiLlama token units: yield-bearing token, backing counted at the issuer row",high,2025-11,A,money_market,dolomite,Berachain,btc_total,
Lombard LBTC,Dolomite,0.016,"DefiLlama token units: yield-bearing token, backing counted at the issuer row",high,2025-11,A,money_market,dolomite,Berachain,btc_borrowed,
Lombard LBTC,Echelon Market,0.0479,"DefiLlama token units: yield-bearing token, backing counted at the issuer row",high,2025-11,A,money_market,echelon-market,Move,btc_total,
Lombard LBTC,Euler V2,1.6248,"DefiLlama token units: yield-bearing token, backing counted at the issuer row",high,2025-11,A,money_market,euler-v2,BOB,btc_total,
Lombard LBTC,Euler V2,0.1243,"DefiLlama token units: yield-bearing token, backing counted at the issuer row",high,2025-11,A,money_market,euler-v2,BOB,btc_borrowed,
Lombard LBTC,Euler V2,4.1391,"DefiLlama token units: yield-bearing token, backing counted at the issuer row",high,2025-11,A,money_market,euler-v2,Base,btc_total,
Lombard LBTC,Euler V2,0.4495,"DefiLlama token units: yield-bearing token, backing counted at the issuer row",high,2025-11,A,money_market,euler-v2,Base,btc_borrowed,
Lombard LBTC,Euler V2,0.0006,"DefiLlama token units: yield-bearing token, backing counted at the issuer row",high,2025-11,A,money_market,euler-v2,Berachain,btc_total,
Lombard LBTC,Euler V2,1.4383,"DefiLlama token units: yield-bearing token, backing counted at the issuer row",high,2025-11,A,money_market,euler-v2,Ethereum,btc_total,
Lombard LBTC,Euler V2,0.2818,"DefiLlama token units: yield-bearing token, backing counted at the issuer row",high,2025-11,A,money_market,euler-v2,Ethereum,btc_borrowed,
Lombard LBTC,Euler V2,0.0084,"DefiLlama token units: yield-bearing token, backing counted at the issuer row",high,2025-11,A,money_market,euler-v2,TAC,btc_total,
Lombard LBTC,Euler V2,0.0,"DefiLlama token units: yield-bearing token, backing counted at the issuer row",high,2025-11,A,money_market,euler-v2,TAC,btc_borrowed,
Lombard LBTC,Fluid Lending,1.3288,"DefiLlama token units: yield-bearing token, backing counted at the issuer row",high,2025-11,A,money_market,fluid-lending,Base,btc_total,
Lombard LBTC,Fluid Lending,5.705,"DefiLlama token units: yield-bearing token, backing counted at the issuer row",high,2025-11,A,money_market,fluid-lending,Ethereum,btc_total,
Lombard LBTC,Jupiter Lend,747.5139,"DefiLlama token units: yield-bearing token, backing counted at the issuer row",high,2025-11,A,money_market,jupiter-lend,Solana,btc_total,
Lombard LBTC,Kamino Lend,9.2226,"DefiLlama token units: yield-bearing token, backing counted at the issuer row",high,2025-11,A,money_market,kamino-lend,Solana,btc_total,
Lombard LBTC,LayerBank,0.0,"DefiLlama token units: yield-bearing token, backing counted at the issuer row",high,2025-11,A,money_market,layerbank,Move,btc_total,
Lombard LBTC,Moonwell Lending,21.5291,"DefiLlama token units: yield-bearing token, backing counted at the issuer row",high,2025-11,A,money_market,moonwell-lending,Base,btc_total,
Lombard LBTC,Moonwell Lending,5.8037,"DefiLlama token units: yield-bearing token, backing counted at the issuer row",high,2025-11,A,money_market,moonwell-lending,Base,btc_borrowed,
Lombard LBTC,Morpho Blue,62.0499,"DefiLlama token units: yield-bearing token, backing counted at the issuer row",high,2025-11,A,money_market,morpho-blue,Base,btc_total,
Lombard LBTC,Morpho Blue,0.0002,"DefiLlama token units: yield-bearing token, backing counted at the issuer row",high,2025-11,A,money_market,morpho-blue,Base,btc_borrowed,
Lombard LBTC,Morpho Blue,0.0342,"DefiLlama token units: yield-bearing token, backing counted at the issuer row",high,2025-11,A,money_market,morpho-blue,Corn,btc_total,
Lombard LBTC,Morpho Blue,393.5058,"DefiLlama token units: yield-bearing token, backing counted at the issuer row",high,2025-11,A,money_market,morpho-blue,Ethereum,btc_total,
Lombard LBTC,Morpho Blue,0.6364,"DefiLlama token units: yield-bearing token, backing counted at the issuer row",high,2025-11,A,money_market,morpho-blue,Ethereum,btc_borrowed,
Lombard LBTC,Morpho Blue,44.3827,"DefiLlama token units: yield-bearing token, backing counted at the issuer row",high,2025-11,A,money_market,morpho-blue,Katana,btc_total,
Lombard LBTC,NAVI Lending,103.9127,"DefiLlama token units: yield-bearing token, backing counted at the issuer row",high,2025-11,A,money_market,navi-lending,Sui,btc_total,
Lombard LBTC,NAVI Lending,5.326,"DefiLlama token units: yield-bearing token, backing counted at the issuer row",high,2025-11,A,money_market,navi-lending,Sui,btc_borrowed,
Lombard LBTC,Silo V2,0.8595,"DefiLlama token units: yield-bearing token, backing counted at the issuer row",high,2025-11,A,money_market,silo-v2,Sonic,btc_total,
Lombard LBTC,Silo V2,0.0411,"DefiLlama token units: yield-bearing token, backing counted at the issuer row",high,2025-11,A,money_market,silo-v2,Sonic,btc_borrowed,
Lombard LBTC,SparkLend,3050.6776,"DefiLlama token units: yield-bearing token, backing counted at the issuer row",high,2025-11,A,money_market,sparklend,Ethereum,btc_total,
Lombard LBTC,Suilend,126.5345,"DefiLlama token units: yield-bearing token, backing counted at the issuer row",high,2025-11,A,money_market,suilend,Sui,btc_total,
Lombard LBTC,Venus Core Pool,0.5112,"DefiLlama token units: yield-bearing token, backing counted at the issuer row",high,2025-11,A,money_market,venus-core-pool,Ethereum,btc_total,
Lombard LBTC,ZeroLend Lending,4.4097,"DefiLlama token units: yield-bearing token, backing counted at the issuer row",high,2025-11,A,money_market,zerolend-lending,Base,btc_borrowed,
Lombard LBTC,ZeroLend Lending,0.0492,"DefiLlama token units: yield-bearing token, backing counted at the issuer row",high,2025-11,A,money_market,zerolend-lending,Corn,btc_total,
Lombard LBTC,ZeroLend Lending,0.0503,"DefiLlama token units: yield-bearing token, backing counted at the issuer row",high,2025-11,A,money_market,zerolend-lending,Corn,btc_borrowed,
Lombard LBTC,ZeroLend Lending,0.0069,"DefiLlama token units: yield-bearing token, backing counted at the issuer row",high,2025-11,A,money_market,zerolend-lending,Ethereum,btc_total,
Lombard LBTC,ZeroLend Lending,0.3676,"DefiLlama token units: yield-bearing token, backing counted at the issuer row",high,2025-11,A,money_market,zerolend-lending,Ethereum,btc_borrowed,
Lombard LBTC,Aave V3,71.9534,"DefiLlama token units: yield-bearing token, backing counted at the issuer row",high,2025-12,A,money_market,aave-v3,Base,btc_total,
Lombard LBTC,Aave V3,3140.2019,"DefiLlama token units: yield-bearing token, backing counted at the issuer row",high,2025-12,A,money_market,aave-v3,Ethereum,btc_total,
Lombard LBTC,Aave V3,0.0623,"DefiLlama token units: yield-bearing token, backing counted at the issuer row",high,2025-12,A,money_market,aave-v3,Ethereum,btc_borrowed,
Lombard LBTC,Avalon Finance,0.0227,"DefiLlama token units: yield-bearing token, backing counted at the issuer row",high,2025-12,A,money_market,avalon-finance,Binance,btc_total,
Lombard LBTC,Avalon Finance,0.001,"DefiLlama token units: yield-bearing token, backing counted at the issuer row",high,2025-12,A,money_market,avalon-finance,Corn,btc_total,
Lombard LBTC,Bucket CDP,0.0191,"DefiLlama token units: yield-bearing token, backing counted at the issuer row",high,2025-12,A,cdp,bucket-cdp,Sui,btc_total,
Lombard LBTC,crvUSD,4.2174,"DefiLlama token units: yield-bearing token, backing counted at the issuer row",high,2025-12,A,cdp,crvusd,Ethereum,btc_total,
Lombard LBTC,Dolomite,0.485,"DefiLlama token units: yield-bearing token, backing counted at the issuer row",high,2025-12,A,money_market,dolomite,Berachain,btc_total,
Lombard LBTC,Dolomite,0.016,"DefiLlama token units: yield-bearing token, backing counted at the issuer row",high,2025-12,A,money_market,dolomite,Berachain,btc_borrowed,
Lombard LBTC,Echelon Market,0.045,"DefiLlama token units: yield-bearing token, backing counted at the issuer row",high,2025-12,A,money_market,echelon-market,Move,btc_total,
Lombard LBTC,Euler V2,0.0748,"DefiLlama token units: yield-bearing token, backing counted at the issuer row",high,2025-12,A,money_market,euler-v2,BOB,btc_total,
Lombard LBTC,Euler V2,0.1267,"DefiLlama token units: yield-bearing token, backing counted at the issuer row",high,2025-12,A,money_market,euler-v2,BOB,btc_borrowed,
Lombard LBTC,Euler V2,1.0448,"DefiLlama token units: yield-bearing token, backing counted at the issuer row",high,2025-12,A,money_market,euler-v2,Base,btc_total,
Lombard LBTC,Euler V2,0.45,"DefiLlama token units: yield-bearing token, backing counted at the issuer row",high,2025-12,A,money_market,euler-v2,Base,btc_borrowed,
Lombard LBTC,Euler V2,0.0,"DefiLlama token units: yield-bearing token, backing counted at the issuer row",high,2025-12,A,money_market,euler-v2,Berachain,btc_total,
Lombard LBTC,Euler V2,1.7166,"DefiLlama token units: yield-bearing token, backing counted at the issuer row",high,2025-12,A,money_market,euler-v2,Ethereum,btc_total,
Lombard LBTC,Euler V2,0.0049,"DefiLlama token units: yield-bearing token, backing counted at the issuer row",high,2025-12,A,money_market,euler-v2,Ethereum,btc_borrowed,
Lombard LBTC,Euler V2,0.2942,"DefiLlama token units: yield-bearing token, backing counted at the issuer row",high,2025-12,A,money_market,euler-v2,Monad,btc_total,
Lombard LBTC,Euler V2,0.0007,"DefiLlama token units: yield-bearing token, backing counted at the issuer row",high,2025-12,A,money_market,euler-v2,TAC,btc_total,
Lombard LBTC,Euler V2,0.0,"DefiLlama token units: yield-bearing token, backing counted at the issuer row",high,2025-12,A,money_market,euler-v2,TAC,btc_borrowed,
Lombard LBTC,Fluid Lending,0.1626,"DefiLlama token units: yield-bearing token, backing counted at the issuer row",high,2025-12,A,money_market,fluid-lending,Base,btc_total,
Lombard LBTC,Fluid Lending,1.1198,"DefiLlama token units: yield-bearing token, backing counted at the issuer row",high,2025-12,A,money_market,fluid-lending,Ethereum,btc_total,
Lombard LBTC,Jupiter Lend,843.4868,"DefiLlama token units: yield-bearing token, backing counted at the issuer row",high,2025-12,A,money_market,jupiter-lend,Solana,btc_total,
Lombard LBTC,Kamino Lend,6.7728,"DefiLlama token units: yield-bearing token, backing counted at the issuer row",high,2025-12,A,money_market,kamino-lend,Solana,btc_total,
Lombard LBTC,LayerBank,0.0,"DefiLlama token units: yield-bearing token, backing counted at the issuer row",high,2025-12,A,money_market,layerbank,Move,btc_total,
Lombard LBTC,Moonwell Lending,25.5154,"DefiLlama token units: yield-bearing token, backing counted at the issuer row",high,2025-12,A,money_market,moonwell-lending,Base,btc_total,
Lombard LBTC,Moonwell Lending,4.0081,"DefiLlama token units: yield-bearing token, backing counted at the issuer row",high,2025-12,A,money_market,moonwell-lending,Base,btc_borrowed,
Lombard LBTC,Morpho Blue,16.4262,"DefiLlama token units: yield-bearing token, backing counted at the issuer row",high,2025-12,A,money_market,morpho-blue,Base,btc_total,
Lombard LBTC,Morpho Blue,0.0002,"DefiLlama token units: yield-bearing token, backing counted at the issuer row",high,2025-12,A,money_market,morpho-blue,Base,btc_borrowed,
Lombard LBTC,Morpho Blue,0.0342,"DefiLlama token units: yield-bearing token, backing counted at the issuer row",high,2025-12,A,money_market,morpho-blue,Corn,btc_total,
Lombard LBTC,Morpho Blue,356.5875,"DefiLlama token units: yield-bearing token, backing counted at the issuer row",high,2025-12,A,money_market,morpho-blue,Ethereum,btc_total,
Lombard LBTC,Morpho Blue,0.6389,"DefiLlama token units: yield-bearing token, backing counted at the issuer row",high,2025-12,A,money_market,morpho-blue,Ethereum,btc_borrowed,
Lombard LBTC,Morpho Blue,24.2749,"DefiLlama token units: yield-bearing token, backing counted at the issuer row",high,2025-12,A,money_market,morpho-blue,Katana,btc_total,
Lombard LBTC,Morpho Blue,0.0003,"DefiLlama token units: yield-bearing token, backing counted at the issuer row",high,2025-12,A,money_market,morpho-blue,Stable,btc_total,
Lombard LBTC,Morpho Blue,0.0,"DefiLlama token units: yield-bearing token, backing counted at the issuer row",high,2025-12,A,money_market,morpho-blue,TAC,btc_total,
Lombard LBTC,NAVI Lending,37.1698,"DefiLlama token units: yield-bearing token, backing counted at the issuer row",high,2025-12,A,money_market,navi-lending,Sui,btc_total,
Lombard LBTC,NAVI Lending,4.6314,"DefiLlama token units: yield-bearing token, backing counted at the issuer row",high,2025-12,A,money_market,navi-lending,Sui,btc_borrowed,
Lombard LBTC,Silo V2,0.8569,"DefiLlama token units: yield-bearing token, backing counted at the issuer row",high,2025-12,A,money_market,silo-v2,Sonic,btc_total,
Lombard LBTC,Silo V2,0.0412,"DefiLlama token units: yield-bearing token, backing counted at the issuer row",high,2025-12,A,money_market,silo-v2,Sonic,btc_borrowed,
Lombard LBTC,SparkLend,2446.2596,"DefiLlama token units: yield-bearing token, backing counted at the issuer row",high,2025-12,A,money_market,sparklend,Ethereum,btc_total,
Lombard LBTC,Suilend,51.5219,"DefiLlama token units: yield-bearing token, backing counted at the issuer row",high,2025-12,A,money_market,suilend,Sui,btc_total,
Lombard LBTC,Venus Core Pool,0.445,"DefiLlama token units: yield-bearing token, backing counted at the issuer row",high,2025-12,A,money_market,venus-core-pool,Ethereum,btc_total,
Lombard LBTC,ZeroLend Lending,4.6951,"DefiLlama token units: yield-bearing token, backing counted at the issuer row",high,2025-12,A,money_market,zerolend-lending,Base,btc_borrowed,
Lombard LBTC,ZeroLend Lending,0.0492,"DefiLlama token units: yield-bearing token, backing counted at the issuer row",high,2025-12,A,money_market,zerolend-lending,Corn,btc_total,
Lombard LBTC,ZeroLend Lending,0.0503,"DefiLlama token units: yield-bearing token, backing counted at the issuer row",high,2025-12,A,money_market,zerolend-lending,Corn,btc_borrowed,
Lombard LBTC,ZeroLend Lending,0.0281,"DefiLlama token units: yield-bearing token, backing counted at the issuer row",high,2025-12,A,money_market,zerolend-lending,Ethereum,btc_total,
Lombard LBTC,ZeroLend Lending,0.3714,"DefiLlama token units: yield-bearing token, backing counted at the issuer row",high,2025-12,A,money_market,zerolend-lending,Ethereum,btc_borrowed,
Lombard LBTC,Aave V3,73.6618,"DefiLlama token units: yield-bearing token, backing counted at the issuer row",high,2026-01,A,money_market,aave-v3,Base,btc_total,
Lombard LBTC,Aave V3,2617.4903,"DefiLlama token units: yield-bearing token, backing counted at the issuer row",high,2026-01,A,money_market,aave-v3,Ethereum,btc_total,
Lombard LBTC,Aave V3,0.0623,"DefiLlama token units: yield-bearing token, backing counted at the issuer row",high,2026-01,A,money_market,aave-v3,Ethereum,btc_borrowed,
Lombard LBTC,Avalon Finance,0.0227,"DefiLlama token units: yield-bearing token, backing counted at the issuer row",high,2026-01,A,money_market,avalon-finance,Binance,btc_total,
Lombard LBTC,Avalon Finance,0.001,"DefiLlama token units: yield-bearing token, backing counted at the issuer row",high,2026-01,A,money_market,avalon-finance,Corn,btc_total,
Lombard LBTC,Bucket CDP,0.0191,"DefiLlama token units: yield-bearing token, backing counted at the issuer row",high,2026-01,A,cdp,bucket-cdp,Sui,btc_total,
Lombard LBTC,crvUSD,1.2175,"DefiLlama token units: yield-bearing token, backing counted at the issuer row",high,2026-01,A,cdp,crvusd,Ethereum,btc_total,
Lombard LBTC,Dolomite,0.485,"DefiLlama token units: yield-bearing token, backing counted at the issuer row",high,2026-01,A,money_market,dolomite,Berachain,btc_total,
Lombard LBTC,Dolomite,0.016,"DefiLlama token units: yield-bearing token, backing counted at the issuer row",high,2026-01,A,money_market,dolomite,Berachain,btc_borrowed,
Lombard LBTC,Echelon Market,0.045,"DefiLlama token units: yield-bearing token, backing counted at the issuer row",high,2026-01,A,money_market,echelon-market,Move,btc_total,
Lombard LBTC,Euler V2,0.0748,"DefiLlama token units: yield-bearing token, backing counted at the issuer row",high,2026-01,A,money_market,euler-v2,BOB,btc_total,
Lombard LBTC,Euler V2,0.1299,"DefiLlama token units: yield-bearing token, backing counted at the issuer row",high,2026-01,A,money_market,euler-v2,BOB,btc_borrowed,
Lombard LBTC,Euler V2,1.1921,"DefiLlama token units: yield-bearing token, backing counted at the issuer row",high,2026-01,A,money_market,euler-v2,Base,btc_total,
Lombard LBTC,Euler V2,0.054,"DefiLlama token units: yield-bearing token, backing counted at the issuer row",high,2026-01,A,money_market,euler-v2,Base,btc_borrowed,
Lombard LBTC,Euler V2,0.0,"DefiLlama token units: yield-bearing token, backing counted at the issuer row",high,2026-01,A,money_market,euler-v2,Berachain,btc_total,
Lombard LBTC,Euler V2,1.7166,"DefiLlama token units: yield-bearing token, backing counted at the issuer row",high,2026-01,A,money_market,euler-v2,Ethereum,btc_total,
Lombard LBTC,Euler V2,0.0049,"DefiLlama token units: yield-bearing token, backing counted at the issuer row",high,2026-01,A,money_market,euler-v2,Ethereum,btc_borrowed,
Lombard LBTC,Euler V2,0.2942,"DefiLlama token units: yield-bearing token, backing counted at the issuer row",high,2026-01,A,money_market,euler-v2,Monad,btc_total,
Lombard LBTC,Euler V2,0.0007,"DefiLlama token units: yield-bearing token, backing counted at the issuer row",high,2026-01,A,money_market,euler-v2,TAC,btc_total,
Lombard LBTC,Euler V2,0.0,"DefiLlama token units: yield-bearing token, backing counted at the issuer row",high,2026-01,A,money_market,euler-v2,TAC,btc_borrowed,
Lombard LBTC,Fluid Lending,0.23,"DefiLlama token units: yield-bearing token, backing counted at the issuer row",high,2026-01,A,money_market,fluid-lending,Base,btc_total,
Lombard LBTC,Fluid Lending,3.0022,"DefiLlama token units: yield-bearing token, backing counted at the issuer row",high,2026-01,A,money_market,fluid-lending,Ethereum,btc_total,
Lombard LBTC,Jupiter Lend,850.1538,"DefiLlama token units: yield-bearing token, backing counted at the issuer row",high,2026-01,A,money_market,jupiter-lend,Solana,btc_total,
Lombard LBTC,Kamino Lend,5.3386,"DefiLlama token units: yield-bearing token, backing counted at the issuer row",high,2026-01,A,money_market,kamino-lend,Solana,btc_total,
Lombard LBTC,Moonwell Lending,30.2426,"DefiLlama token units: yield-bearing token, backing counted at the issuer row",high,2026-01,A,money_market,moonwell-lending,Base,btc_total,
Lombard LBTC,Moonwell Lending,3.4054,"DefiLlama token units: yield-bearing token, backing counted at the issuer row",high,2026-01,A,money_market,moonwell-lending,Base,btc_borrowed,
Lombard LBTC,Morpho Blue,20.5948,"DefiLlama token units: yield-bearing token, backing counted at the issuer row",high,2026-01,A,money_market,morpho-blue,Base,btc_total,
Lombard LBTC,Morpho Blue,0.0002,"DefiLlama token units: yield-bearing token, backing counted at the issuer row",high,2026-01,A,money_market,morpho-blue,Base,btc_borrowed,
Lombard LBTC,Morpho Blue,0.0342,"DefiLlama token units: yield-bearing token, backing counted at the issuer row",high,2026-01,A,money_market,morpho-blue,Corn,btc_total,
Lombard LBTC,Morpho Blue,1740.9876,"DefiLlama token units: yield-bearing token, backing counted at the issuer row",high,2026-01,A,money_market,morpho-blue,Ethereum,btc_total,
Lombard LBTC,Morpho Blue,0.6407,"DefiLlama token units: yield-bearing token, backing counted at the issuer row",high,2026-01,A,money_market,morpho-blue,Ethereum,btc_borrowed,
Lombard LBTC,Morpho Blue,49.6452,"DefiLlama token units: yield-bearing token, backing counted at the issuer row",high,2026-01,A,money_market,morpho-blue,Katana,btc_total,
Lombard LBTC,Morpho Blue,0.0,"DefiLlama token units: yield-bearing token, backing counted at the issuer row",high,2026-01,A,money_market,morpho-blue,Stable,btc_total,
Lombard LBTC,Morpho Blue,0.0,"DefiLlama token units: yield-bearing token, backing counted at the issuer row",high,2026-01,A,money_market,morpho-blue,TAC,btc_total,
Lombard LBTC,NAVI Lending,30.3479,"DefiLlama token units: yield-bearing token, backing counted at the issuer row",high,2026-01,A,money_market,navi-lending,Sui,btc_total,
Lombard LBTC,NAVI Lending,4.6235,"DefiLlama token units: yield-bearing token, backing counted at the issuer row",high,2026-01,A,money_market,navi-lending,Sui,btc_borrowed,
Lombard LBTC,Silo V2,0.8579,"DefiLlama token units: yield-bearing token, backing counted at the issuer row",high,2026-01,A,money_market,silo-v2,Sonic,btc_total,
Lombard LBTC,Silo V2,0.0241,"DefiLlama token units: yield-bearing token, backing counted at the issuer row",high,2026-01,A,money_market,silo-v2,Sonic,btc_borrowed,
Lombard LBTC,SparkLend,2793.7941,"DefiLlama token units: yield-bearing token, backing counted at the issuer row",high,2026-01,A,money_market,sparklend,Ethereum,btc_total,
Lombard LBTC,Suilend,48.2469,"DefiLlama token units: yield-bearing token, backing counted at the issuer row",high,2026-01,A,money_market,suilend,Sui,btc_total,
Lombard LBTC,Venus Core Pool,0.5467,"DefiLlama token units: yield-bearing token, backing counted at the issuer row",high,2026-01,A,money_market,venus-core-pool,Ethereum,btc_total,
Lombard LBTC,ZeroLend Lending,4.9904,"DefiLlama token units: yield-bearing token, backing counted at the issuer row",high,2026-01,A,money_market,zerolend-lending,Base,btc_borrowed,
Lombard LBTC,ZeroLend Lending,0.0492,"DefiLlama token units: yield-bearing token, backing counted at the issuer row",high,2026-01,A,money_market,zerolend-lending,Corn,btc_total,
Lombard LBTC,ZeroLend Lending,0.0503,"DefiLlama token units: yield-bearing token, backing counted at the issuer row",high,2026-01,A,money_market,zerolend-lending,Corn,btc_borrowed,
Lombard LBTC,ZeroLend Lending,0.1196,"DefiLlama token units: yield-bearing token, backing counted at the issuer row",high,2026-01,A,money_market,zerolend-lending,Ethereum,btc_total,
Lombard LBTC,ZeroLend Lending,0.1722,"DefiLlama token units: yield-bearing token, backing counted at the issuer row",high,2026-01,A,money_market,zerolend-lending,Ethereum,btc_borrowed,
Lombard LBTC,Aave V3,39.4462,"DefiLlama token units: yield-bearing token, backing counted at the issuer row",high,2026-02,A,money_market,aave-v3,Base,btc_total,
Lombard LBTC,Aave V3,2313.8372,"DefiLlama token units: yield-bearing token, backing counted at the issuer row",high,2026-02,A,money_market,aave-v3,Ethereum,btc_total,
Lombard LBTC,Aave V3,0.017,"DefiLlama token units: yield-bearing token, backing counted at the issuer row",high,2026-02,A,money_market,aave-v3,Ethereum,btc_borrowed,
Lombard LBTC,Avalon Finance,0.0224,"DefiLlama token units: yield-bearing token, backing counted at the issuer row",high,2026-02,A,money_market,avalon-finance,Binance,btc_total,
Lombard LBTC,Avalon Finance,0.001,"DefiLlama token units: yield-bearing token, backing counted at the issuer row",high,2026-02,A,money_market,avalon-finance,Corn,btc_total,
Lombard LBTC,Bucket CDP,0.0175,"DefiLlama token units: yield-bearing token, backing counted at the issuer row",high,2026-02,A,cdp,bucket-cdp,Sui,btc_total,
Lombard LBTC,crvUSD,0.0,"DefiLlama token units: yield-bearing token, backing counted at the issuer row",high,2026-02,A,cdp,crvusd,Ethereum,btc_total,
Lombard LBTC,Dolomite,0.4749,"DefiLlama token units: yield-bearing token, backing counted at the issuer row",high,2026-02,A,money_market,dolomite,Berachain,btc_total,
Lombard LBTC,Dolomite,0.016,"DefiLlama token units: yield-bearing token, backing counted at the issuer row",high,2026-02,A,money_market,dolomite,Berachain,btc_borrowed,
Lombard LBTC,Echelon Market,0.045,"DefiLlama token units: yield-bearing token, backing counted at the issuer row",high,2026-02,A,money_market,echelon-market,Move,btc_total,
Lombard LBTC,Euler V2,0.0748,"DefiLlama token units: yield-bearing token, backing counted at the issuer row",high,2026-02,A,money_market,euler-v2,BOB,btc_total,
Lombard LBTC,Euler V2,0.1329,"DefiLlama token units: yield-bearing token, backing counted at the issuer row",high,2026-02,A,money_market,euler-v2,BOB,btc_borrowed,
Lombard LBTC,Euler V2,1.4634,"DefiLlama token units: yield-bearing token, backing counted at the issuer row",high,2026-02,A,money_market,euler-v2,Base,btc_total,
Lombard LBTC,Euler V2,0.0514,"DefiLlama token units: yield-bearing token, backing counted at the issuer row",high,2026-02,A,money_market,euler-v2,Base,btc_borrowed,
Lombard LBTC,Euler V2,0.0,"DefiLlama token units: yield-bearing token, backing counted at the issuer row",high,2026-02,A,money_market,euler-v2,Berachain,btc_total,
Lombard LBTC,Euler V2,0.3089,"DefiLlama token units: yield-bearing token, backing counted at the issuer row",high,2026-02,A,money_market,euler-v2,Ethereum,btc_total,
Lombard LBTC,Euler V2,0.0049,"DefiLlama token units: yield-bearing token, backing counted at the issuer row",high,2026-02,A,money_market,euler-v2,Ethereum,btc_borrowed,
Lombard LBTC,Euler V2,0.4989,"DefiLlama token units: yield-bearing token, backing counted at the issuer row",high,2026-02,A,money_market,euler-v2,Monad,btc_total,
Lombard LBTC,Euler V2,0.0007,"DefiLlama token units: yield-bearing token, backing counted at the issuer row",high,2026-02,A,money_market,euler-v2,TAC,btc_total,
